id,saleprice
2658,166490.52754386535
2718,223458.6795994706
2414,208244.45862059284
1989,130207.10204476281
625,191294.5986656137
333,84487.18381860397
1327,109150.96328500693
858,141576.56994317204
95,191610.63240574536
1568,161272.63103395427
2482,168713.98593468548
1364,136907.89590108287
2584,175237.11899403
818,280772.69275402714
2673,179917.04201173742
2089,120784.27875161922
1297,169902.45645152475
790,119151.95696909747
2616,200578.1753025868
720,214350.54163430913
222,140707.02592888608
557,117423.16413185392
1148,214222.9606032006
2766,146473.6426932314
534,194683.98516504857
1452,104114.68399425287
630,141718.0678864192
2648,133294.044478383
125,146122.22151276458
1904,26953.00623990805
1670,102567.81352199835
756,102399.25728676058
717,277912.83423668897
1032,154123.10273492587
852,225329.0340693613
1731,212678.8268372493
2639,152002.95147071226
2071,63428.6653857325
1267,83040.4604560802
1851,198424.00825188664
567,175446.77608466664
2439,216587.75223700848
1898,157435.53001876944
647,161117.79617981374
2256,212877.21128620303
979,110714.72363686882
1444,213135.506031955
2485,100585.88642732541
157,126759.51510275072
88,124954.8275468472
2003,108738.328059174
186,198167.4370275138
1425,277352.81658117566
2695,129571.31099450543
738,99487.50349588916
395,151876.9606939298
1353,174325.93317497277
1878,153592.47391432896
390,176462.06386041615
1456,230390.5503825426
1103,301928.36310476094
1387,148695.97668169177
2070,154295.06900745135
1199,184029.40303123897
2479,164857.36453460905
501,307811.57337086054
2362,79641.89755332941
1718,236849.86159027403
2188,57883.53578655221
1483,148664.25090921903
2557,80132.04043216242
437,341854.5324707652
2224,204742.2314198963
1628,166022.12370293916
397,122301.92933865247
587,222587.3197161475
2182,549640.5188063589
971,130618.97620528247
2611,153409.92721069558
1887,63668.16950317894
2399,325351.69530824025
2148,222543.5318291843
304,130703.86648125756
1997,138902.01863755324
2817,120689.31891150255
1431,169908.8923696004
427,377951.37473321485
263,111059.08730751826
598,175750.23747196046
2895,244134.35149940877
687,165052.46183726692
1822,122623.77568622262
2191,108900.62279639921
179,145532.93649095585
1009,215496.16230460655
2010,114225.35790152254
1991,157198.73026888515
1411,168841.49339608464
1721,283555.8106627927
1144,180436.26613559155
593,207023.45465271157
575,265073.77882669447
1249,188635.43671079513
1604,109567.2871934805
1064,417720.9876780759
1923,161252.3319619774
1988,91726.0592739335
2325,171403.07585334027
114,210015.04659725656
2700,217949.57645515946
217,162763.87295255854
343,194106.73489614975
386,241490.59737468718
2005,94953.04856065116
2908,135228.41317166958
1814,215515.54876017105
2446,396390.3362698399
208,144820.25241981755
1679,111576.44614170851
822,301764.03576900763
6,191459.98854566793
1781,367990.47432979284
2397,323676.50367671653
2340,282732.7820632415
1618,160831.59712922073
2843,155026.18484868144
1061,352309.591870358
2786,107176.70500836032
1935,125935.10447080784
1341,142515.30144522878
521,289939.46047319414
2136,119481.89787744178
996,190385.42856201628
227,141964.81141071604
135,166144.33610787118
1167,166682.86978830895
294,236169.0513055315
1776,223509.72639444264
540,180706.7247483629
1717,259477.78184999555
2303,108477.71256592001
116,197072.87214514602
127,128148.58939899808
1371,144194.84941058015
1014,198080.0301760924
1507,76371.64888476318
702,151818.15617705855
750,173314.46352683366
261,144575.9193796438
1559,62636.49369865855
577,231045.13168839205
