id,saleprice
2658,166891.37344663765
2718,223581.6445344683
2414,207706.17675733662
1989,130063.98152637336
625,191416.42065271156
333,84200.63614948983
1327,109052.88276022194
858,142029.83195556607
95,192369.69469257185
1568,161283.88909371692
2482,168738.02781652744
1364,137313.96233217715
2584,175687.45232687867
818,281093.1519040825
2673,179927.99251058415
2089,119428.63425284799
1297,169175.45730487586
790,119314.33856063322
2616,200883.6161718708
720,214561.24331512296
222,140389.35576797923
557,117127.95218767374
1148,214693.3603845036
2766,146447.04806396546
534,194852.86405465065
1452,103965.43989724925
630,141961.0359246145
2648,133756.08143153987
125,145740.91480918706
1904,26585.973941300763
1670,102416.78096244205
756,102361.92847547383
717,278779.1462340995
1032,154169.72492054725
852,225636.1024373948
1731,212272.99075897707
2639,151517.8068892138
2071,63091.520193353936
1267,82696.5312980841
1851,198700.45605394113
567,175317.8248014076
2439,215968.28789989225
1898,157152.69379964058
647,160954.01607449434
2256,214062.72758850924
979,110295.62490328428
1444,213233.04675295105
2485,100594.39756464055
157,126738.23095081866
88,124975.06651950999
2003,108846.14359023399
186,198566.36204223268
1425,277351.19625200145
2695,129499.51508084922
738,99450.85463566487
395,151850.10119059955
1353,174389.775879242
1878,153455.51812761003
390,176547.32292181667
1456,230288.45157098616
1103,303058.34507338994
1387,148684.58107223097
2070,154074.95412572552
1199,183950.74504232244
2479,164682.72271441825
501,308325.666899038
2362,79565.13428542785
1718,236640.71192583913
2188,57628.80523136142
1483,148730.92307232405
2557,79472.21744268098
437,341618.66067895025
2224,205143.07605465862
1628,165119.55912986665
397,122176.21293330315
587,222938.00954855676
2182,551861.8662175229
971,129840.27198886621
2611,153474.60306620106
1887,63333.52031991264
2399,325273.6172994685
2148,222781.7214639855
304,130955.47679166401
1997,139233.25594058872
2817,120299.01723927565
1431,169410.68915738777
427,378016.48926753324
263,110866.9158749997
598,175834.72049527903
2895,244761.49989346968
687,165054.20285119704
1822,122428.5494195697
2191,108530.78849186553
179,145321.84783904123
1009,215392.07600552714
2010,113999.18819067985
1991,157042.38151677095
1411,169286.92470799293
1721,283559.44759916875
1144,180276.20829875726
593,207160.7108558511
575,265677.47071653605
1249,188656.21671887935
